,DEV_MAE,DEV_MSE,TEST1_MAE,TEST1_MSE,TEST2_MAE,TEST2_MSE,TRAIN_MAE,TRAIN_MSE
0,0.3837720470577812,0.2334826152103326,0.3896504195765894,0.23911786250940106,0.3907580388141692,0.24123814885461625,0.3547924832967037,0.20025570995388947
1,0.3747383617853425,0.22313184251747945,0.3797758639077479,0.2274737269318344,0.38423444452648464,0.2338138665459567,0.3382265434558493,0.1816379719249888
2,0.3634845967810159,0.20862837363009484,0.3698914083986474,0.2143877650107313,0.3740386889327561,0.2204343862288217,0.33016699311663905,0.1719215617467893
3,0.34740950327058234,0.18996299812964407,0.3549493701015276,0.19663490739178072,0.3594496320462067,0.20296209110456293,0.3150033973447429,0.15642923703996395
4,0.32850913086033506,0.16698780400427662,0.33874966858537403,0.1753933477279057,0.34226924651634505,0.1812780759553248,0.30295710292331857,0.1408756523222998
5,0.31175474071556025,0.15267305494661565,0.32079150912158977,0.15918448957714193,0.3231498123442033,0.16445378009211564,0.2855369028239709,0.12653001271638295
6,0.2947692073311582,0.13816672053446438,0.30434689711457663,0.14539960372581312,0.3030567889768272,0.14755456326738567,0.2763527740008079,0.12049512859198873
7,0.3052388688072529,0.14805947539070308,0.30834498467221355,0.149454667215646,0.3146627475132612,0.1578423066203226,0.2707480349402033,0.11569215795377755
8,0.29788431224406964,0.14159129591169506,0.29886947880708664,0.14220591577907538,0.30526607881136386,0.14996127013498772,0.26333089938686466,0.1116817248766321
9,0.2812385681566243,0.12639731644197333,0.2871867789288762,0.13062396251061886,0.29144443318561153,0.13726924132980756,0.25919211256850755,0.10674039359447407
10,0.2918882300427029,0.13619276519696452,0.2904923684132979,0.1356445717950262,0.29989571387975805,0.14553309088265334,0.2558763615031637,0.10716924539881796
11,0.27388210355542114,0.12086982163526867,0.27709728159840474,0.12332935766085686,0.2842366120927286,0.1318343840658798,0.25040896852384475,0.10132817708619224
12,0.26938200861655626,0.11407443178926804,0.27671681442943463,0.11887982115169501,0.28384025432386123,0.12741298509337493,0.25538554201190106,0.10100069495535537
13,0.2627205528071529,0.1126952662774647,0.26640966249845704,0.11550213522825732,0.2737369729059121,0.12396633703649974,0.2440363765541605,0.0974869307134242
14,0.2664596402981137,0.11434720035954075,0.26752963996680257,0.11533980650069728,0.2787122118339709,0.1263006581870768,0.24196139752758164,0.09549523920300823
15,0.24739177573060564,0.10225579667334722,0.2555543618895597,0.1075551620319119,0.2597081711265598,0.11409408173891787,0.2418293711067046,0.09518042929807233
